,cluster_number,movie_title
235,34,Oblivion 
236,11,Star Wars: Episode III - Revenge of the Sith 
237,11,Star Wars: Episode II - Attack of the Clones 
238,1,"Monsters, Inc. "
239,34,The Wolverine 
240,11,Star Wars: Episode I - The Phantom Menace 
241,1,The Croods 
242,10,Asterix at the Olympic Games 
243,31,Windtalkers 
244,11,The Huntsman: Winter's War 
246,24,Gravity 
247,0,Dante's Peak 
248,34,Teenage Mutant Ninja Turtles: Out of the Shadows 
250,10,Night at the Museum 
251,0,San Andreas 
252,0,Tomorrow Never Dies 
253,12,The Patriot 
254,13,Ocean's Twelve 
255,32,Mr. & Mrs. Smith 
256,24,Insurgent 
257,20,The Aviator 
258,10,Gulliver's Travels 
259,32,The Green Hornet 
260,5,The A-Team             
261,31,300: Rise of an Empire 
262,1,The Smurfs 
263,27,Home on the Range 
264,34,Allegiant 
265,23,Real Steel 
266,1,The Smurfs 2 
267,32,Speed 2: Cruise Control 
268,34,Ender's Game 
269,0,Live Free or Die Hard 
270,11,The Lord of the Rings: The Fellowship of the Ring 
272,23,Ali 
273,10,The Cat in the Hat 
274,34,"I, Robot "
275,12,Kingdom of Heaven 
276,10,Stuart Little 
277,37,The Princess and the Frog 
278,24,The Martian 
279,7,"10,000 B.C.             "
281,3,Town & Country 
282,32,Gone in Sixty Seconds 
283,22,Gladiator 
284,34,Minority Report 
285,10,Harry Potter and the Chamber of Secrets 
288,34,Terminator 2: Judgment Day 
289,30,Public Enemies 
290,20,American Gangster 
291,0,True Lies 
292,32,The Taking of Pelham 1 2 3 
293,3,Little Fockers 
294,19,The Other Guys 
295,17,Eraser 
296,27,Django Unchained 
297,37,The Hunchback of Notre Dame 
298,1,The Emperor's New Groove 
299,0,The Expendables 2 
300,10,National Treasure 
301,10,Eragon 
302,10,Where the Wild Things Are 
304,1,Epic 
306,29,End of Days 
307,2,Blood Diamond 
308,20,The Wolf of Wall Street 
309,11,Batman Forever 
310,31,Starship Troopers 
311,24,Cloud Atlas 
312,1,Legend of the Guardians: The Owls of Ga'Hoole 
313,32,Catwoman 
315,1,Treasure Planet 
316,24,Land of the Lost 
317,0,The Expendables 3 
319,10,Son of the Mask 
320,30,In the Heart of the Sea 
321,34,The Adventures of Pluto Nash 
322,31,Green Zone 
323,1,The Peanuts Movie 
324,17,The Spanish Prisoner 
325,11,The Mummy Returns 
326,13,Gangs of New York 
327,12,The Flowers of War 
328,23,Surf's Up 
329,24,The Stepford Wives 
330,12,Black Hawk Down 
331,7,The Campaign 
332,34,The Fifth Element 
333,3,Sex and the City 2 
334,1,The Road to El Dorado 
335,1,Ice Age: Continental Drift 
338,1,Finding Nemo 
339,11,The Lord of the Rings: The Return of the King 
340,11,The Lord of the Rings: The Two Towers 
341,11,Seventh Son 
342,11,Lara Croft: Tomb Raider 
343,17,Transcendence 
344,34,Jurassic Park III 
345,34,Rise of the Planet of the Apes 
346,10,The Spiderwick Chronicles 
347,0,A Good Day to Die Hard 
349,1,The Incredibles 
350,5,Cutthroat Island 
351,10,Percy Jackson & the Olympians: The Lightning Thief 
352,10,Men in Black 
353,1,Toy Story 2 
354,0,Unstoppable 
355,32,Rush Hour 2 
356,29,What Lies Beneath 
357,1,Cloudy with a Chance of Meatballs 
358,1,Ice Age: Dawn of the Dinosaurs 
359,2,The Secret Life of Walter Mitty 
360,32,Charlie's Angels 
361,13,The Departed 
362,37,Mulan 
363,5,Tropic Thunder 
364,17,The Girl with the Dragon Tattoo 
365,0,Die Hard with a Vengeance 
366,17,Sherlock Holmes 
368,1,Atlantis: The Lost Empire 
369,1,Alvin and the Chipmunks: The Road Chip 
370,12,Valkyrie 
371,5,You Don't Mess with the Zohan 
372,1,Pixels 
373,24,A.I. Artificial Intelligence 
374,29,The Haunted Mansion 
375,17,Contact 
376,26,Hollow Man 
377,17,The Interpreter 
378,10,Percy Jackson: Sea of Monsters 
379,11,Lara Croft Tomb Raider: The Cradle of Life 
380,17,Now You See Me 2 
381,34,The Saint 
382,32,Spy Game 
383,24,Mission to Mars 
384,37,Rio 
385,24,Bicentennial Man 
386,34,Volcano 
387,32,The Devil's Own 
388,12,K-19: The Widowmaker 
389,34,Fantastic Four 
391,23,Cinderella Man 
392,21,The Nutcracker in 3D 
393,23,Seabiscuit 
394,0,Twister 
396,2,Cast Away 
397,1,Happy Feet 
398,17,The Bourne Supremacy 
399,0,Air Force One 
400,13,Ocean's Eleven 
401,5,The Three Musketeers 
402,1,Hotel Transylvania 
403,37,Enchanted 
404,17,Hannibal             
405,17,Safe House 
406,10,102 Dalmatians 
407,19,Tower Heist 
408,3,The Holiday 
409,17,Enemy of the State 
410,3,It's Complicated 
411,13,Ocean's Thirteen 
412,1,Open Season 
413,24,Divergent 
414,12,Enemy at the Gates 
415,0,The Rundown 
416,11,Last Action Hero 
417,22,Memoirs of a Geisha 
418,32,The Fast and the Furious: Tokyo Drift 
419,1,Arthur Christmas 
420,22,Meet Joe Black 
421,0,Collateral Damage 
422,21,All That Jazz 
423,10,Mirror Mirror 
424,11,Scott Pilgrim vs. the World 
425,34,The Core 
426,24,Nutty Professor II: The Klumps 
427,2,Scooby-Doo 
429,3,Click 
431,10,Cats & Dogs: The Revenge of Kitty Galore 
432,34,Jumper 
433,11,Hellboy II: The Golden Army 
434,30,Zodiac 
435,34,The 6th Day 
436,7,Bruce Almighty 
437,0,The Expendables 
438,0,Mission: Impossible 
439,24,The Hunger Games 
440,7,The Hangover Part II 
441,5,Batman Returns 
442,1,Over the Hedge 
443,1,Lilo & Stitch 
444,10,Charlotte's Web 
445,34,Deep Impact 
446,32,RED 2 
447,23,The Longest Yard 
448,1,Alvin and the Chipmunks: Chipwrecked 
449,7,Grown Ups 2 
450,5,Get Smart 
451,3,Something's Gotta Give 
452,17,Shutter Island 
453,3,Four Christmases 
454,1,Robots 
455,32,Face/Off 
456,10,Bedtime Stories 
457,13,Road to Perdition 
458,3,Just Go with It 
459,34,Daredevil             
460,32,Con Air 
461,17,Eagle Eye 
462,12,Cold Mountain 
463,0,The Book of Eli 
464,10,Flubber 
465,29,The Haunting 
466,1,Space Jam 
467,10,The Pink Panther 
469,17,Conspiracy Theory 
470,31,Fury 
471,5,Six Days Seven Nights 
472,1,Yogi Bear 
473,27,Spirit: Stallion of the Cimarron 
474,10,Zookeeper 
475,34,Lost in Space 
476,17,The Manchurian Candidate 
477,22,Déjà Vu 
478,1,Hotel Transylvania 2 
479,10,Bewitched             
480,1,Fantasia 2000 
481,34,The Time Machine 
482,11,Mighty Joe Young 
483,32,Swordfish 
484,27,The Legend of Zorro 
485,22,What Dreams May Come 
486,29,Little Nicky 
487,11,The Brothers Grimm 
488,34,Mars Attacks! 
489,26,Evolution 
490,0,The Edge 
491,34,Surrogates 
492,30,Thirteen Days 
493,0,Daylight 
494,1,Walking with Dinosaurs 3D 
495,34,Battlefield Earth 
496,1,Looney Tunes: Back in Action 
497,21,Nine 
498,34,Timeline 
499,34,The Postman 
500,10,Babe: Pig in the City 
501,11,The Last Witch Hunter 
502,34,Red Planet 
503,1,Arthur and the Invisibles 
504,4,Oceans 
505,26,A Sound of Thunder 
506,30,Pompeii 
507,1,Top Cat Begins 
508,20,A Beautiful Mind 
509,37,The Lion King 
510,10,Journey 2: The Mysterious Island 
511,1,Cloudy with a Chance of Meatballs 2 
512,13,Red Dragon 
513,27,Hidalgo 
514,7,Jack and Jill 
515,32,2 Fast 2 Furious 
516,1,The Little Prince 
517,24,The Invasion 
518,1,The Adventures of Rocky & Bullwinkle 
519,1,The Secret Life of Pets 
520,11,The League of Extraordinary Gentlemen 
521,1,Despicable Me 2 
522,34,Independence Day 
523,34,The Lost World: Jurassic Park 
524,1,Madagascar 
525,24,Children of Men 
526,34,X-Men 
527,32,Wanted 
528,0,The Rock 
529,1,Ice Age: The Meltdown 
530,3,50 First Dates 
531,21,Hairspray 
532,35,Exorcist: The Beginning 
533,10,Inspector Gadget 
534,17,Now You See Me 
535,7,Grown Ups 
536,7,The Terminal 
537,29,Constantine             
538,10,Hotel for Dogs 
539,0,Vertical Limit 
540,30,Charlie Wilson's War 
541,1,Shark Tale 
542,21,Dreamgirls 
543,17,Life             
544,6,Be Cool 
545,30,Munich 
546,31,Tears of the Sun 
547,0,Killers 
548,5,The Man from U.N.C.L.E. 
549,3,Spanglish 
550,1,Monster House 
551,3,Bandits 
552,0,First Knight 
553,30,Anna and the King 
554,22,Immortals 
555,17,Hostage 
556,1,Titan A.E. 
557,32,Hollywood Homicide 
558,34,Soldier 
559,26,Carriers 
560,1,Monkeybone 
561,0,Flight of the Phoenix 
562,17,Unbreakable 
563,1,Minions 
564,11,Sucker Punch 
565,17,Snake Eyes 
566,17,Sphere 
567,1,The Angry Birds Movie 
568,0,Fool's Gold 
569,7,Funny People 
570,0,The Kingdom 
571,23,Talladega Nights: The Ballad of Ricky Bobby 
572,10,Dr. Dolittle 2 
573,12,Braveheart 
574,31,Jarhead 
575,1,The Simpsons Movie 
576,22,The Majestic 
577,23,Driven 
578,10,Two Brothers 
579,17,The Village 
580,10,Doctor Dolittle 
581,24,Signs 
582,1,Shrek 2 
583,1,Cars 
584,3,Runaway Bride 
585,0,xXx 
586,1,The SpongeBob Movie: Sponge Out of Water 
587,13,Ransom 
588,31,Inglourious Basterds 
589,10,Hook 
590,5,Hercules 
591,0,Die Hard 2 
592,32,S.W.A.T. 
593,17,Sleepy Hollow             
594,17,Vanilla Sky 
595,17,Lady in the Water 
596,26,AVP: Alien vs. Predator 
597,1,Alvin and the Chipmunks: The Squeakquel 
598,12,We Were Soldiers 
599,0,Olympus Has Fallen 
600,34,Star Trek: Insurrection 
601,34,Battle Los Angeles 
602,11,Big Fish 
603,35,Wolf 
604,31,War Horse 
605,31,The Monuments Men 
606,24,The Abyss 
607,38,Wall Street: Money Never Sleeps 
608,31,Dracula Untold 
609,0,The Siege 
610,10,Stardust 
611,12,Seven Years in Tibet 
612,7,The Dilemma 
613,0,Bad Company 
614,26,Doom 
615,0,I Spy 
616,29,Underworld: Awakening 
617,21,Rock of Ages 
618,31,Hart's War 
619,32,Killer Elite 
620,23,Rollerball 
621,32,Ballistic: Ecks vs. Sever 
622,32,Hard Rain 
623,1,Osmosis Jones 
624,37,Legends of Oz: Dorothy's Return 
625,17,Blackhat 
626,34,Sky Captain and the World of Tomorrow 
627,17,Basic Instinct 2 
628,17,Escape Plan 
629,11,The Legend of Hercules 
630,0,The Sum of All Fears 
631,11,The Twilight Saga: Eclipse 
632,13,The Score 
633,1,Despicable Me 
634,32,Money Train 
635,7,Ted 2 
636,30,Agora 
637,11,Mystery Men 
638,3,Hall Pass 
639,20,The Insider 
640,30,The Finest Hours 
641,0,Body of Lies 
642,7,Dinner for Schmucks 
643,29,Abraham Lincoln: Vampire Hunter 
644,32,Entrapment 
645,7,Last Man Standing             
646,17,The X Files 
647,31,The Last Legion 
648,31,Saving Private Ryan 
649,32,Need for Speed 
650,3,What Women Want 
651,1,Ice Age 
652,26,Dreamcatcher 
653,12,Lincoln 
654,34,The Matrix 
655,30,Apollo 13 
656,34,Total Recall 
657,10,The Santa Clause 2 
658,21,Les Misérables 
659,3,You've Got Mail 
660,7,Step Brothers 
661,27,The Mask of Zorro 
662,7,Due Date 
664,0,Space Cowboys 
665,0,Cliffhanger 
666,32,Broken Arrow 
667,10,The Kid 
668,30,World Trade Center 
669,38,Mona Lisa Smile 
670,3,The Dictator 
671,17,Eyes Wide Shut 
672,21,Annie 
673,3,Focus 
674,3,This Means War 
675,26,Blade: Trinity 
676,31,Red Dawn 
677,7,Primary Colors 
678,26,Resident Evil: Retribution 
679,34,Death Race 
680,17,The Long Kiss Goodnight 
681,0,Proof of Life 
682,10,Zathura: A Space Adventure 
683,38,Fight Club 
684,23,We Are Marshall 
685,17,The Missing             
686,5,Hudson Hawk 
687,19,Lucky Numbers 
688,11,"I, Frankenstein "
689,13,Oliver Twist 
690,32,Elektra 
691,32,Sin City: A Dame to Kill For 
692,17,Random Hearts 
693,30,Everest 
694,13,Perfume: The Story of a Murderer 
695,19,Austin Powers in Goldmember 
696,1,Astro Boy 
697,24,Jurassic Park 
698,27,Wyatt Earp 
699,32,Clear and Present Danger 
700,30,Dragon Blade 
701,19,Littleman 
702,31,U-571 
703,3,The American President 
704,23,The Love Guru 
705,32,3000 Miles to Graceland 
706,27,The Hateful Eight 
707,23,Blades of Glory 
708,1,Hop 
709,31,300 
710,3,Meet the Fockers 
711,10,Marley & Me 
712,17,The Green Mile 
713,5,Wild Hogs 
714,1,Chicken Little 
715,17,Gone Girl 
716,17,The Bourne Identity 
717,0,GoldenEye 
718,17,The General's Daughter 
719,24,The Truman Show 
720,37,The Prince of Egypt 
721,10,Daddy Day Care 
722,32,2 Guns 
723,10,Cats & Dogs 
724,32,The Italian Job 
725,3,Two Weeks Notice 
726,1,Antz 
727,7,Couples Retreat 
728,23,Days of Thunder 
729,10,Cheaper by the Dozen 2 
730,34,The Scorch Trials 
731,22,Eat Pray Love 
732,3,The Family Man 
733,32,RED 
734,23,Any Given Sunday 
735,27,The Horse Whisperer 
736,13,Collateral 
737,11,The Scorpion King 
738,0,Ladder 49 
740,34,Deep Blue Sea 
741,4,This Is It 
742,38,Contagion 
743,19,Kangaroo Jack 
744,1,Coraline 
745,24,The Happening 
746,32,Man on Fire 
747,10,The Shaggy Dog 
748,19,Starsky & Hutch 
749,10,Jingle All the Way 
750,26,Hellboy 
751,38,A Civil Action 
752,1,ParaNorman 
753,32,The Jackal 
754,34,Paycheck 
755,22,Up Close & Personal 
756,1,The Tale of Despereaux 
757,3,Rules of Engagement             
758,34,The Tuxedo 
759,0,Under Siege 2: Dark Territory 
760,0,Jack Ryan: Shadow Recruit 
761,20,Joy 
762,32,London Has Fallen 
763,26,Alien: Resurrection 
764,17,Shooter 
765,1,The Boxtrolls 
766,3,Practical Magic 
767,1,The Lego Movie 
768,19,Miss Congeniality 2: Armed and Fabulous 
769,11,Reign of Fire 
770,32,Gangster Squad 
771,2,Year One 
772,30,Invictus 
773,17,State of Play 
774,19,Duplicity 
775,10,My Favorite Martian 
776,32,The Sentinel 
777,1,Planet 51 
778,34,Star Trek: Nemesis 
779,19,Intolerable Cruelty 
780,23,Trouble with the Curve 
781,17,Edge of Darkness 
782,26,The Relic 
783,19,Analyze That 
784,17,Righteous Kill 
786,6,The Soloist 
787,23,The Legend of Bagger Vance 
788,6,Almost Famous 
789,1,Garfield 2 
790,32,xXx: State of the Union 
791,26,Priest 
792,1,Sinbad: Legend of the Seven Seas 
793,26,Event Horizon 
794,34,The Avengers 
795,17,Dragonfly 
796,17,The Black Dahlia 
797,12,Flyboys 
798,0,The Last Castle 
799,26,Supernova 
800,22,Winter's Tale 
801,29,The Mortal Instruments: City of Bones 
802,10,Meet Dave 
803,35,Dark Water 
804,7,Edtv 
805,10,Inkheart 
806,32,The Spirit 
807,3,Mortdecai 
808,11,In the Name of the King: A Dungeon Siege Tale 
809,31,Beyond Borders 
810,11,Xi you ji zhi: Sun Wukong san da Baigu Jing 
811,31,The Great Raid 
812,34,Deadpool 
813,7,Holy Man 
814,12,American Sniper 
816,10,"Sabrina, the Teenage Witch             "
817,3,Just Like Heaven 
818,10,The Flintstones in Viva Rock Vegas 
819,31,Rambo III 
820,23,Leatherheads 
821,27,The Ridiculous 6 
822,3,Did You Hear About the Morgans? 
823,7,The Internship 
824,26,Resident Evil: Afterlife 
825,12,Red Tails 
826,3,Sex and the City             
827,17,The Devil's Advocate 
828,7,That's My Boy 
829,11,DragonHeart 
830,19,After the Sunset 
831,11,Ghost Rider: Spirit of Vengeance 
832,31,Captain Corelli's Mandolin 
833,3,Anger Management             
834,10,The Pacifier 
835,32,Walking Tall 
836,7,Forrest Gump 
837,1,Alvin and the Chipmunks 
838,7,Meet the Parents 
839,37,Pocahontas 
840,34,Superman 
841,24,The Nutty Professor 
842,3,Hitch 
843,10,George of the Jungle 
844,3,American Wedding 
845,20,Captain Phillips 
846,19,Date Night 
847,10,Casper 
848,32,The Equalizer 
849,3,Maid in Manhattan 
850,31,Crimson Tide 
851,20,The Pursuit of Happyness 
852,17,Flightplan 
853,38,Disclosure 
854,22,City of Angels 
855,5,Kill Bill: Vol. 1 
856,7,Bowfinger 
857,34,Stargate SG-1             
858,32,Kill Bill: Vol. 2 
859,32,Tango & Cash 
860,29,Death Becomes Her 
861,27,Shanghai Noon 
862,0,Executive Decision 
863,10,Mr. Popper's Penguins 
864,11,The Forbidden Kingdom 
865,1,Free Birds 
866,26,Alien 3 
867,30,Evita 
868,32,Ronin 
869,35,The Ghost and the Darkness 
870,1,Paddington 
872,32,The Hunted 
873,38,Instinct 
874,7,Stuck on You 
875,23,Semi-Pro 
876,1,The Pirates! Band of Misfits 
877,17,Changeling 
878,34,Chain Reaction 
879,23,The Fan 
880,21,The Phantom of the Opera 
881,12,Elizabeth: The Golden Age 
882,34,Æon Flux 
883,12,Gods and Generals 
884,0,Turbulence 
885,10,Imagine That 
886,21,Muppets Most Wanted 
887,10,Thunderbirds 
888,21,Burlesque 
889,31,A Very Long Engagement 
891,35,Eye See You 
892,26,Blade II 
893,22,Seven Pounds 
894,0,Bullet to the Head 
895,13,The Godfather: Part III 
896,3,Elizabethtown 
897,3,"You, Me and Dupree "
898,34,Superman II 
899,19,Gigli 
900,38,All the King's Men 
901,32,Shaft 
902,37,Anastasia 
903,21,Moulin Rouge! 
904,17,Domestic Disturbance 
905,20,Black Mass 
906,12,Flags of Our Fathers 
907,13,Law Abiding Citizen 
908,35,Grindhouse 
909,30,Beloved 
910,23,Lucky You 
911,20,Catch Me If You Can 
912,30,Zero Dark Thirty 
913,3,The Break-Up 
914,21,Mamma Mia! 
915,3,Valentine's Day 
916,5,The Dukes of Hazzard 
917,31,The Thin Red Line 
918,29,The Change-Up 
919,20,Man on the Moon 
920,20,Casino 
921,0,From Paris with Love 
922,11,Bulletproof Monk 
923,7,"Me, Myself & Irene "
924,1,Barnyard 
925,10,Deck the Halls 
926,11,The Twilight Saga: New Moon 
927,1,Shrek 
928,24,The Adjustment Bureau 
929,5,Robin Hood: Prince of Thieves 
930,23,Jerry Maguire 
931,29,Ted 
932,3,As Good as It Gets 
933,20,Patch Adams 
934,7,Anchorman 2: The Legend Continues 
935,3,Mr. Deeds 
936,17,Super 8 
937,20,Erin Brockovich 
938,3,How to Lose a Guy in 10 Days 
939,19,22 Jump Street 
940,29,Interview with the Vampire: The Vampire Chronicles 
941,3,Yes Man 
942,19,Central Intelligence 
943,7,Stepmom 
944,10,Daddy's Home 
945,21,Into the Woods 
946,17,Inside Man 
947,32,Payback 
948,34,Congo 
949,10,We Bought a Zoo 
950,17,Knowing 
951,3,Failure to Launch 
952,35,The Ring Two 
953,3,"Crazy, Stupid, Love. "
954,1,Garfield 
955,10,Christmas with the Kranks 
956,23,Moneyball 
957,0,Outbreak 
958,17,Non-Stop 
959,11,Race to Witch Mountain 
960,0,V for Vendetta 
961,5,Shanghai Knights 
962,13,Unforgotten             
963,1,Curious George 
964,23,Herbie Fully Loaded 
965,17,Don't Say a Word 
966,29,Hansel & Gretel: Witch Hunters 
967,38,Unfaithful 
968,34,I Am Number Four 
970,31,13 Hours 
971,1,The Book of Life 
972,13,Firewall 
973,32,Absolute Power 
974,31,G.I. Jane 
975,17,The Game 
976,35,Silent Hill 
977,23,The Replacements 
978,7,American Reunion 
979,17,The Negotiator 
980,0,Into the Storm 
981,32,Beverly Hills Cop III 
982,29,Gremlins 2: The New Batch 
983,13,The Judge 
984,0,The Peacemaker 
985,26,Resident Evil: Apocalypse 
986,3,Bridget Jones: The Edge of Reason 
987,13,Out of Time 
988,0,On Deadly Ground 
989,10,The Adventures of Sharkboy and Lavagirl 3-D 
990,2,The Beach 
991,3,Raising Helen 
992,32,Ninja Assassin 
993,23,For Love of the Game 
994,17,A Touch of Frost             
995,13,Striptease 
996,10,Marmaduke 
997,38,Hereafter 
999,32,Assassins 
1000,13,Hannibal Rising 
1001,3,The Story of Us 
1003,17,Basic 
1004,17,Blood Work 
1005,17,The International 
1006,34,Escape from L.A. 
1007,17,Twisted             
1008,1,The Iron Giant 
1009,2,The Life Aquatic with Steve Zissou 
1010,12,Free State of Jones 
1011,13,The Life of David Gale 
1012,5,Man of the House 
1013,32,Run All Night 
1014,17,Eastern Promises 
1015,32,Into the Blue 
1016,12,The Messenger: The Story of Joan of Arc 
1017,11,Your Highness 
1018,17,Dream House 
1019,13,Mad City 
1020,10,Baby's Day Out 
1021,22,The Scarlet Letter 
1022,20,Fair Game 
1023,34,Defiance             
1024,20,Domino 
1025,13,Jade 
1026,34,Gamer 
1027,22,Beautiful Creatures 
1028,13,Death to Smoochy 
1029,7,Zoolander 2 
1030,19,The Big Bounce 
1031,24,What Planet Are You From? 
1032,11,Drive Angry 
1033,17,Street Fighter: The Legend of Chun-Li 
1034,34,The One 
1035,24,Outlander             
1036,6,The Adventures of Ford Fairlane 
1037,6,Pirate Radio 
1038,13,Traffic 
1039,11,Indiana Jones and the Last Crusade 
1040,22,Anna Karenina 
1041,32,Chappie 
1042,17,The Bone Collector 
1043,13,Panic Room 
1044,35,The Tooth Fairy 
1045,31,Three Kings 
1046,13,Child 44 
1047,2,Rat Race 
