,cluster_number,movie_title
156,12,The World Is Not Enough 
157,10,Master and Commander: The Far Side of the World 
158,20,Happy Feet 2 
159,22,The Incredible Hulk 
160,31,Miami Vice             
161,17,The BFG 
162,44,The Revenant 
163,33,Turbo 
164,15,Rango 
165,33,Penguins of Madagascar 
166,8,The Bourne Ultimatum 
167,33,Kung Fu Panda 
168,22,Ant-Man 
169,22,The Hunger Games: Catching Fire 
170,24,The Twilight Saga: Breaking Dawn - Part 2 
171,22,War of the Worlds 
172,40,Bad Boys II 
173,3,Puss in Boots 
174,31,Salt 
175,12,Noah 
176,17,The Adventures of Tintin 
177,17,Harry Potter and the Prisoner of Azkaban 
178,13,Australia 
179,22,After Earth 
180,33,Dinosaur 
181,37,Harry Potter and the Deathly Hallows: Part II 
182,17,Night at the Museum: Secret of the Tomb 
183,33,Megamind 
184,17,Harry Potter and the Sorcerer's Stone 
185,42,R.I.P.D. 
186,22,Godzilla Resurgence 
187,37,Pirates of the Caribbean: The Curse of the Black Pearl 
188,24,Harry Potter and the Deathly Hallows: Part I 
189,22,The Hunger Games: Mockingjay - Part 1 
190,8,The Da Vinci Code 
191,20,Rio 2 
192,37,X-Men 2 
193,25,Fast Five 
194,31,Sherlock Holmes: A Game of Shadows 
195,28,The 13th Warrior 
196,12,The Bourne Legacy 
197,1,Batman & Robin 
198,42,How the Grinch Stole Christmas 
199,22,The Day After Tomorrow 
200,12,Mission: Impossible II 
201,12,The Perfect Storm 
202,22,Fantastic 4: Rise of the Silver Surfer 
203,24,Life of Pi 
204,1,Ghost Rider 
205,1,Jason Bourne 
206,40,Charlie's Angels: Full Throttle 
207,22,Prometheus 
208,3,Stuart Little 2 
209,41,Elysium 
210,22,The Chronicles of Riddick 
211,16,Speed Racer 
212,39,How Do You Know 
213,39,Knight and Day 
214,22,Oblivion 
215,37,Star Wars: Episode III - Revenge of the Sith 
216,37,Star Wars: Episode II - Attack of the Clones 
217,3,"Monsters, Inc. "
218,22,The Wolverine 
219,37,Star Wars: Episode I - The Phantom Menace 
220,3,The Croods 
221,17,Asterix at the Olympic Games 
222,13,Windtalkers 
223,37,The Huntsman: Winter's War 
224,22,Gravity 
225,12,Dante's Peak 
226,22,Teenage Mutant Ninja Turtles: Out of the Shadows 
227,17,Night at the Museum 
228,12,San Andreas 
229,12,Tomorrow Never Dies 
230,10,The Patriot 
231,27,Ocean's Twelve 
232,40,Mr. & Mrs. Smith 
233,22,Insurgent 
234,36,The Aviator 
235,17,Gulliver's Travels 
236,41,The Green Hornet 
237,12,The A-Team             
238,13,300: Rise of an Empire 
239,3,The Smurfs 
240,15,Home on the Range 
241,22,Allegiant 
242,16,Real Steel 
243,3,The Smurfs 2 
244,25,Speed 2: Cruise Control 
245,41,Ender's Game 
246,12,Live Free or Die Hard 
247,37,The Lord of the Rings: The Fellowship of the Ring 
248,43,Ali 
249,17,The Cat in the Hat 
250,8,"I, Robot "
251,10,Kingdom of Heaven 
252,17,Stuart Little 
253,20,The Princess and the Frog 
254,22,The Martian 
255,4,"10,000 B.C.             "
256,39,Town & Country 
257,25,Gone in Sixty Seconds 
258,23,Gladiator 
259,8,Minority Report 
260,17,Harry Potter and the Chamber of Secrets 
261,41,Terminator 2: Judgment Day 
262,32,Public Enemies 
263,36,American Gangster 
264,1,True Lies 
265,25,The Taking of Pelham 1 2 3 
266,39,Little Fockers 
267,40,The Other Guys 
268,8,Eraser 
269,44,Django Unchained 
270,20,The Hunchback of Notre Dame 
271,3,The Emperor's New Groove 
272,12,The Expendables 2 
273,17,National Treasure 
274,17,Eragon 
275,17,Where the Wild Things Are 
276,3,Epic 
277,35,End of Days 
278,2,Blood Diamond 
279,36,The Wolf of Wall Street 
280,37,Batman Forever 
281,13,Starship Troopers 
282,34,Cloud Atlas 
283,3,Legend of the Guardians: The Owls of Ga'Hoole 
284,25,Catwoman 
285,33,Treasure Planet 
286,22,Land of the Lost 
287,12,The Expendables 3 
288,42,Son of the Mask 
289,32,In the Heart of the Sea 
290,41,The Adventures of Pluto Nash 
291,13,Green Zone 
292,33,The Peanuts Movie 
293,8,The Spanish Prisoner 
294,37,The Mummy Returns 
295,27,Gangs of New York 
296,10,The Flowers of War 
297,33,Surf's Up 
298,41,The Stepford Wives 
299,10,Black Hawk Down 
300,21,The Campaign 
301,22,The Fifth Element 
302,39,Sex and the City 2 
303,33,The Road to El Dorado 
304,33,Ice Age: Continental Drift 
305,33,Finding Nemo 
306,37,The Lord of the Rings: The Return of the King 
307,37,The Lord of the Rings: The Two Towers 
308,37,Seventh Son 
309,37,Lara Croft: Tomb Raider 
310,8,Transcendence 
311,22,Jurassic Park III 
312,41,Rise of the Planet of the Apes 
313,17,The Spiderwick Chronicles 
314,1,A Good Day to Die Hard 
315,33,The Incredibles 
316,12,Cutthroat Island 
317,17,Percy Jackson & the Olympians: The Lightning Thief 
318,17,Men in Black 
319,3,Toy Story 2 
320,1,Unstoppable 
321,40,Rush Hour 2 
322,26,What Lies Beneath 
323,33,Cloudy with a Chance of Meatballs 
324,33,Ice Age: Dawn of the Dinosaurs 
325,24,The Secret Life of Walter Mitty 
326,40,Charlie's Angels 
327,27,The Departed 
328,20,Mulan 
329,21,Tropic Thunder 
330,31,The Girl with the Dragon Tattoo 
331,12,Die Hard with a Vengeance 
332,31,Sherlock Holmes 
333,3,Atlantis: The Lost Empire 
334,3,Alvin and the Chipmunks: The Road Chip 
335,10,Valkyrie 
336,21,You Don't Mess with the Zohan 
337,33,Pixels 
338,22,A.I. Artificial Intelligence 
339,42,The Haunted Mansion 
340,8,Contact 
341,41,Hollow Man 
342,31,The Interpreter 
343,17,Percy Jackson: Sea of Monsters 
344,37,Lara Croft Tomb Raider: The Cradle of Life 
345,31,Now You See Me 2 
346,22,The Saint 
347,25,Spy Game 
348,22,Mission to Mars 
349,20,Rio 
350,34,Bicentennial Man 
351,41,Volcano 
352,25,The Devil's Own 
353,10,K-19: The Widowmaker 
354,22,Fantastic Four 
355,43,Cinderella Man 
356,20,The Nutcracker in 3D 
357,5,Seabiscuit 
358,12,Twister 
359,23,Cast Away 
360,33,Happy Feet 
361,8,The Bourne Supremacy 
362,12,Air Force One 
363,27,Ocean's Eleven 
364,12,The Three Musketeers 
365,3,Hotel Transylvania 
366,20,Enchanted 
367,31,Hannibal             
368,31,Safe House 
369,17,102 Dalmatians 
370,40,Tower Heist 
371,39,The Holiday 
372,31,Enemy of the State 
373,23,It's Complicated 
374,27,Ocean's Thirteen 
375,33,Open Season 
376,22,Divergent 
377,10,Enemy at the Gates 
378,12,The Rundown 
379,37,Last Action Hero 
380,23,Memoirs of a Geisha 
381,25,The Fast and the Furious: Tokyo Drift 
382,3,Arthur Christmas 
383,24,Meet Joe Black 
384,1,Collateral Damage 
385,0,All That Jazz 
386,17,Mirror Mirror 
387,24,Scott Pilgrim vs. the World 
388,22,The Core 
389,39,Nutty Professor II: The Klumps 
390,21,Scooby-Doo 
391,24,Click 
392,42,Cats & Dogs: The Revenge of Kitty Galore 
393,22,Jumper 
394,37,Hellboy II: The Golden Army 
395,28,Zodiac 
396,8,The 6th Day 
397,4,Bruce Almighty 
398,12,The Expendables 
399,12,Mission: Impossible 
400,22,The Hunger Games 
401,21,The Hangover Part II 
402,1,Batman Returns 
403,33,Over the Hedge 
404,3,Lilo & Stitch 
405,42,Charlotte's Web 
406,41,Deep Impact 
407,40,RED 2 
408,16,The Longest Yard 
409,3,Alvin and the Chipmunks: Chipwrecked 
410,21,Grown Ups 2 
411,12,Get Smart 
412,23,Something's Gotta Give 
413,8,Shutter Island 
414,23,Four Christmases 
415,33,Robots 
416,41,Face/Off 
417,42,Bedtime Stories 
418,27,Road to Perdition 
419,39,Just Go with It 
420,22,Daredevil             
421,25,Con Air 
422,8,Eagle Eye 
423,10,Cold Mountain 
424,12,The Book of Eli 
425,34,Flubber 
426,26,The Haunting 
427,3,Space Jam 
428,17,The Pink Panther 
429,31,Conspiracy Theory 
430,13,Fury 
431,12,Six Days Seven Nights 
432,33,Yogi Bear 
433,15,Spirit: Stallion of the Cimarron 
434,39,Zookeeper 
435,22,Lost in Space 
436,8,The Manchurian Candidate 
437,23,Déjà Vu 
438,3,Hotel Transylvania 2 
439,42,Bewitched             
440,3,Fantasia 2000 
441,22,The Time Machine 
442,37,Mighty Joe Young 
443,25,Swordfish 
444,15,The Legend of Zorro 
445,24,What Dreams May Come 
446,42,Little Nicky 
447,37,The Brothers Grimm 
448,41,Mars Attacks! 
449,26,Evolution 
450,12,The Edge 
451,41,Surrogates 
452,28,Thirteen Days 
453,12,Daylight 
454,33,Walking with Dinosaurs 3D 
455,22,Battlefield Earth 
456,3,Looney Tunes: Back in Action 
457,30,Nine 
458,22,Timeline 
459,22,The Postman 
460,17,Babe: Pig in the City 
461,37,The Last Witch Hunter 
462,41,Red Planet 
463,3,Arthur and the Invisibles 
464,7,Oceans 
465,41,A Sound of Thunder 
466,28,Pompeii 
467,33,Top Cat Begins 
468,36,A Beautiful Mind 
469,20,The Lion King 
470,37,Journey 2: The Mysterious Island 
471,3,Cloudy with a Chance of Meatballs 2 
472,27,Red Dragon 
473,15,Hidalgo 
474,21,Jack and Jill 
475,25,2 Fast 2 Furious 
476,3,The Little Prince 
477,41,The Invasion 
478,3,The Adventures of Rocky & Bullwinkle 
479,33,The Secret Life of Pets 
480,37,The League of Extraordinary Gentlemen 
481,33,Despicable Me 2 
482,22,Independence Day 
483,22,The Lost World: Jurassic Park 
484,33,Madagascar 
485,34,Children of Men 
486,22,X-Men 
487,25,Wanted 
488,12,The Rock 
489,3,Ice Age: The Meltdown 
490,39,50 First Dates 
491,0,Hairspray 
492,26,Exorcist: The Beginning 
493,22,Inspector Gadget 
494,31,Now You See Me 
495,21,Grown Ups 
496,4,The Terminal 
497,35,Constantine             
498,21,Hotel for Dogs 
499,12,Vertical Limit 
500,32,Charlie Wilson's War 
501,33,Shark Tale 
502,0,Dreamgirls 
503,31,Life             
504,19,Be Cool 
505,28,Munich 
506,13,Tears of the Sun 
507,1,Killers 
508,12,The Man from U.N.C.L.E. 
509,23,Spanglish 
510,3,Monster House 
511,38,Bandits 
512,12,First Knight 
513,28,Anna and the King 
514,24,Immortals 
515,31,Hostage 
516,33,Titan A.E. 
517,40,Hollywood Homicide 
518,41,Soldier 
519,34,Carriers 
520,42,Monkeybone 
521,12,Flight of the Phoenix 
522,8,Unbreakable 
523,33,Minions 
524,37,Sucker Punch 
525,31,Snake Eyes 
526,8,Sphere 
527,33,The Angry Birds Movie 
528,12,Fool's Gold 
529,4,Funny People 
530,1,The Kingdom 
531,16,Talladega Nights: The Ballad of Ricky Bobby 
532,42,Dr. Dolittle 2 
533,10,Braveheart 
534,13,Jarhead 
535,33,The Simpsons Movie 
536,23,The Majestic 
537,16,Driven 
538,17,Two Brothers 
539,8,The Village 
540,42,Doctor Dolittle 
541,34,Signs 
542,3,Shrek 2 
543,33,Cars 
544,39,Runaway Bride 
545,12,xXx 
546,3,The SpongeBob Movie: Sponge Out of Water 
547,27,Ransom 
548,13,Inglourious Basterds 
549,17,Hook 
550,12,Hercules 
551,1,Die Hard 2 
552,25,S.W.A.T. 
553,8,Sleepy Hollow             
554,8,Vanilla Sky 
555,8,Lady in the Water 
556,41,AVP: Alien vs. Predator 
557,3,Alvin and the Chipmunks: The Squeakquel 
558,10,We Were Soldiers 
559,1,Olympus Has Fallen 
560,22,Star Trek: Insurrection 
561,41,Battle Los Angeles 
562,24,Big Fish 
563,18,Wolf 
564,13,War Horse 
565,13,The Monuments Men 
566,22,The Abyss 
567,2,Wall Street: Money Never Sleeps 
568,13,Dracula Untold 
569,1,The Siege 
570,17,Stardust 
571,10,Seven Years in Tibet 
572,4,The Dilemma 
573,12,Bad Company 
574,22,Doom 
575,12,I Spy 
576,35,Underworld: Awakening 
577,30,Rock of Ages 
578,13,Hart's War 
579,25,Killer Elite 
580,16,Rollerball 
581,41,Ballistic: Ecks vs. Sever 
582,25,Hard Rain 
583,3,Osmosis Jones 
584,20,Legends of Oz: Dorothy's Return 
585,31,Blackhat 
586,22,Sky Captain and the World of Tomorrow 
587,31,Basic Instinct 2 
588,31,Escape Plan 
589,37,The Legend of Hercules 
590,1,The Sum of All Fears 
591,24,The Twilight Saga: Eclipse 
592,27,The Score 
593,33,Despicable Me 
594,25,Money Train 
595,21,Ted 2 
596,28,Agora 
597,37,Mystery Men 
598,39,Hall Pass 
599,36,The Insider 
600,28,The Finest Hours 
601,1,Body of Lies 
602,21,Dinner for Schmucks 
603,35,Abraham Lincoln: Vampire Hunter 
604,25,Entrapment 
605,4,Last Man Standing             
606,8,The X Files 
607,13,The Last Legion 
608,13,Saving Private Ryan 
609,25,Need for Speed 
610,24,What Women Want 
611,33,Ice Age 
612,34,Dreamcatcher 
613,10,Lincoln 
614,41,The Matrix 
615,28,Apollo 13 
616,41,Total Recall 
617,42,The Santa Clause 2 
618,30,Les Misérables 
619,23,You've Got Mail 
620,4,Step Brothers 
621,15,The Mask of Zorro 
622,4,Due Date 
623,12,Space Cowboys 
624,12,Cliffhanger 
625,25,Broken Arrow 
626,42,The Kid 
627,28,World Trade Center 
628,2,Mona Lisa Smile 
629,39,The Dictator 
630,8,Eyes Wide Shut 
631,30,Annie 
632,38,Focus 
633,39,This Means War 
634,37,Blade: Trinity 
635,13,Red Dawn 
636,4,Primary Colors 
637,41,Resident Evil: Retribution 
638,41,Death Race 
639,31,The Long Kiss Goodnight 
640,1,Proof of Life 
641,37,Zathura: A Space Adventure 
642,2,Fight Club 
643,16,We Are Marshall 
644,31,The Missing             
645,12,Hudson Hawk 
646,38,Lucky Numbers 
647,41,"I, Frankenstein "
648,27,Oliver Twist 
649,25,Elektra 
650,25,Sin City: A Dame to Kill For 
651,8,Random Hearts 
652,5,Everest 
653,24,Perfume: The Story of a Murderer 
654,40,Austin Powers in Goldmember 
655,33,Astro Boy 
656,22,Jurassic Park 
657,44,Wyatt Earp 
658,25,Clear and Present Danger 
659,28,Dragon Blade 
660,38,Littleman 
661,13,U-571 
662,23,The American President 
663,16,The Love Guru 
664,40,3000 Miles to Graceland 
665,44,The Hateful Eight 
666,16,Blades of Glory 
667,3,Hop 
668,13,300 
669,39,Meet the Fockers 
670,4,Marley & Me 
671,31,The Green Mile 
672,12,Wild Hogs 
673,33,Chicken Little 
674,31,Gone Girl 
675,8,The Bourne Identity 
676,12,GoldenEye 
677,8,The General's Daughter 
678,34,The Truman Show 
679,20,The Prince of Egypt 
680,21,Daddy Day Care 
681,25,2 Guns 
682,42,Cats & Dogs 
683,25,The Italian Job 
684,39,Two Weeks Notice 
685,33,Antz 
686,21,Couples Retreat 
687,16,Days of Thunder 
688,17,Cheaper by the Dozen 2 
689,41,The Scorch Trials 
690,23,Eat Pray Love 
691,24,The Family Man 
692,40,RED 
693,16,Any Given Sunday 
694,44,The Horse Whisperer 
695,27,Collateral 
696,37,The Scorpion King 
697,1,Ladder 49 
698,41,Deep Blue Sea 
699,7,This Is It 
700,2,Contagion 
701,40,Kangaroo Jack 
702,3,Coraline 
703,41,The Happening 
704,25,Man on Fire 
705,42,The Shaggy Dog 
706,38,Starsky & Hutch 
707,21,Jingle All the Way 
708,35,Hellboy 
709,2,A Civil Action 
710,3,ParaNorman 
711,25,The Jackal 
712,8,Paycheck 
713,23,Up Close & Personal 
714,3,The Tale of Despereaux 
715,39,Rules of Engagement             
716,41,The Tuxedo 
717,1,Under Siege 2: Dark Territory 
718,1,Jack Ryan: Shadow Recruit 
719,36,Joy 
720,25,London Has Fallen 
721,41,Alien: Resurrection 
722,31,Shooter 
723,3,The Boxtrolls 
724,24,Practical Magic 
725,3,The Lego Movie 
726,40,Miss Congeniality 2: Armed and Fabulous 
727,37,Reign of Fire 
728,25,Gangster Squad 
729,21,Year One 
730,5,Invictus 
731,31,State of Play 
732,38,Duplicity 
733,34,My Favorite Martian 
734,25,The Sentinel 
735,33,Planet 51 
736,22,Star Trek: Nemesis 
737,38,Intolerable Cruelty 
738,16,Trouble with the Curve 
739,31,Edge of Darkness 
740,26,The Relic 
741,38,Analyze That 
742,31,Righteous Kill 
743,19,The Soloist 
744,16,The Legend of Bagger Vance 
745,19,Almost Famous 
746,3,Garfield 2 
747,25,xXx: State of the Union 
748,35,Priest 
749,3,Sinbad: Legend of the Seven Seas 
750,18,Event Horizon 
751,22,The Avengers 
752,8,Dragonfly 
753,31,The Black Dahlia 
754,10,Flyboys 
755,1,The Last Castle 
756,18,Supernova 
757,24,Winter's Tale 
758,26,The Mortal Instruments: City of Bones 
759,17,Meet Dave 
760,18,Dark Water 
761,4,Edtv 
762,17,Inkheart 
763,25,The Spirit 
764,39,Mortdecai 
765,37,In the Name of the King: A Dungeon Siege Tale 
766,13,Beyond Borders 
767,37,Xi you ji zhi: Sun Wukong san da Baigu Jing 
768,13,The Great Raid 
769,22,Deadpool 
770,21,Holy Man 
771,10,American Sniper 
772,42,"Sabrina, the Teenage Witch             "
773,24,Just Like Heaven 
774,39,The Flintstones in Viva Rock Vegas 
775,13,Rambo III 
776,16,Leatherheads 
777,15,The Ridiculous 6 
778,39,Did You Hear About the Morgans? 
779,21,The Internship 
780,22,Resident Evil: Afterlife 
781,10,Red Tails 
782,39,Sex and the City             
783,8,The Devil's Advocate 
784,21,That's My Boy 
785,37,DragonHeart 
786,40,After the Sunset 
787,1,Ghost Rider: Spirit of Vengeance 
788,19,Captain Corelli's Mandolin 
789,39,Anger Management             
790,1,The Pacifier 
791,40,Walking Tall 
792,4,Forrest Gump 
793,3,Alvin and the Chipmunks 
794,4,Meet the Parents 
795,20,Pocahontas 
796,22,Superman 
797,39,The Nutty Professor 
798,39,Hitch 
799,17,George of the Jungle 
800,39,American Wedding 
801,36,Captain Phillips 
802,38,Date Night 
803,42,Casper 
804,25,The Equalizer 
805,39,Maid in Manhattan 
806,13,Crimson Tide 
807,36,The Pursuit of Happyness 
808,8,Flightplan 
809,2,Disclosure 
810,24,City of Angels 
811,1,Kill Bill: Vol. 1 
812,21,Bowfinger 
813,22,Stargate SG-1             
814,25,Kill Bill: Vol. 2 
815,40,Tango & Cash 
816,35,Death Becomes Her 
817,15,Shanghai Noon 
818,12,Executive Decision 
819,42,Mr. Popper's Penguins 
820,37,The Forbidden Kingdom 
821,33,Free Birds 
822,41,Alien 3 
823,32,Evita 
824,25,Ronin 
825,18,The Ghost and the Darkness 
826,3,Paddington 
827,25,The Hunted 
828,2,Instinct 
829,21,Stuck on You 
830,16,Semi-Pro 
831,33,The Pirates! Band of Misfits 
832,31,Changeling 
833,41,Chain Reaction 
834,16,The Fan 
835,30,The Phantom of the Opera 
836,10,Elizabeth: The Golden Age 
837,41,Æon Flux 
838,10,Gods and Generals 
839,1,Turbulence 
840,42,Imagine That 
841,30,Muppets Most Wanted 
842,22,Thunderbirds 
843,0,Burlesque 
844,13,A Very Long Engagement 
845,26,Eye See You 
846,41,Blade II 
847,23,Seven Pounds 
848,1,Bullet to the Head 
849,27,The Godfather: Part III 
850,23,Elizabethtown 
851,39,"You, Me and Dupree "
852,22,Superman II 
853,39,Gigli 
854,2,All the King's Men 
855,25,Shaft 
856,20,Anastasia 
857,30,Moulin Rouge! 
858,31,Domestic Disturbance 
859,36,Black Mass 
860,10,Flags of Our Fathers 
861,27,Law Abiding Citizen 
862,18,Grindhouse 
863,28,Beloved 
864,16,Lucky You 
865,36,Catch Me If You Can 
866,28,Zero Dark Thirty 
867,23,The Break-Up 
868,30,Mamma Mia! 
869,39,Valentine's Day 
870,12,The Dukes of Hazzard 
871,13,The Thin Red Line 
872,42,The Change-Up 
873,36,Man on the Moon 
874,36,Casino 
875,1,From Paris with Love 
876,42,Bulletproof Monk 
877,21,"Me, Myself & Irene "
878,33,Barnyard 
879,21,Deck the Halls 
880,24,The Twilight Saga: New Moon 
881,3,Shrek 
882,34,The Adjustment Bureau 
883,12,Robin Hood: Prince of Thieves 
884,16,Jerry Maguire 
885,42,Ted 
886,23,As Good as It Gets 
887,36,Patch Adams 
888,21,Anchorman 2: The Legend Continues 
889,39,Mr. Deeds 
890,8,Super 8 
891,36,Erin Brockovich 
892,39,How to Lose a Guy in 10 Days 
893,40,22 Jump Street 
894,35,Interview with the Vampire: The Vampire Chronicles 
895,39,Yes Man 
896,40,Central Intelligence 
897,4,Stepmom 
898,21,Daddy's Home 
899,30,Into the Woods 
900,31,Inside Man 
901,25,Payback 
902,22,Congo 
903,4,We Bought a Zoo 
904,8,Knowing 
905,39,Failure to Launch 
906,26,The Ring Two 
907,23,"Crazy, Stupid, Love. "
908,3,Garfield 
909,21,Christmas with the Kranks 
910,43,Moneyball 
911,1,Outbreak 
912,8,Non-Stop 
913,37,Race to Witch Mountain 
914,1,V for Vendetta 
915,12,Shanghai Knights 
916,27,Unforgotten             
917,33,Curious George 
918,16,Herbie Fully Loaded 
919,31,Don't Say a Word 
920,35,Hansel & Gretel: Witch Hunters 
921,2,Unfaithful 
922,22,I Am Number Four 
923,13,13 Hours 
924,3,The Book of Life 
925,25,Firewall 
926,25,Absolute Power 
927,13,G.I. Jane 
928,8,The Game 
929,26,Silent Hill 
930,16,The Replacements 
931,4,American Reunion 
932,31,The Negotiator 
933,1,Into the Storm 
934,40,Beverly Hills Cop III 
935,35,Gremlins 2: The New Batch 
936,27,The Judge 
937,1,The Peacemaker 
938,41,Resident Evil: Apocalypse 
939,23,Bridget Jones: The Edge of Reason 
940,27,Out of Time 
941,12,On Deadly Ground 
942,17,The Adventures of Sharkboy and Lavagirl 3-D 
943,2,The Beach 
944,23,Raising Helen 
945,25,Ninja Assassin 
946,16,For Love of the Game 
947,31,A Touch of Frost             
948,38,Striptease 
949,21,Marmaduke 
950,24,Hereafter 
951,25,Assassins 
952,27,Hannibal Rising 
953,23,The Story of Us 
954,31,Basic 
955,31,Blood Work 
956,31,The International 
957,22,Escape from L.A. 
958,8,Twisted             
959,33,The Iron Giant 
960,4,The Life Aquatic with Steve Zissou 
961,10,Free State of Jones 
962,27,The Life of David Gale 
963,21,Man of the House 
964,25,Run All Night 
965,31,Eastern Promises 
966,25,Into the Blue 
967,10,The Messenger: The Story of Joan of Arc 
968,42,Your Highness 
969,8,Dream House 
970,27,Mad City 
971,17,Baby's Day Out 
972,23,The Scarlet Letter 
973,36,Fair Game 
974,34,Defiance             
975,36,Domino 
976,27,Jade 
977,41,Gamer 
978,24,Beautiful Creatures 
979,27,Death to Smoochy 
980,21,Zoolander 2 
981,38,The Big Bounce 
982,34,What Planet Are You From? 
983,1,Drive Angry 
984,31,Street Fighter: The Legend of Chun-Li 
985,41,The One 
986,34,Outlander             
987,19,The Adventures of Ford Fairlane 
988,19,Pirate Radio 
989,27,Traffic 
990,37,Indiana Jones and the Last Crusade 
991,23,Anna Karenina 
992,25,Chappie 
993,31,The Bone Collector 
994,27,Panic Room 
995,18,The Tooth Fairy 
996,13,Three Kings 
997,27,Child 44 
998,21,Rat Race 
999,8,K-PAX 
1000,24,Kate & Leopold 
1001,24,Bedazzled 
